name,category,price,kitchen,item_kitchen,description
MEGA 20PCS Chicken Family Meal,Family Meals,3990,yes,,20pc chicken + 4 sauces + 2 large fries + 1L soft drink
SUPER 10PCS Chicken Family Meal,Family Meals,3250,yes,,10pc chicken + 4 sauces + 2 large fries + 1L soft drink
12PCS Tender Family Meal,Family Meals,3250,yes,,12pc tender + 4 sauces + large fries + 1L soft drink
Gathering Box,Family Meals,2820,yes,,3 mini burgers + 3 wraps + 3pc tender + 4 popcorn + special fries + large soda
Rafiki Box,Family Meals,2500,yes,,Shared platter box
Kanka Meal,Family Meals,2490,yes,,Fajita + maxicano + burger + popcorn chicken + fries + 1.25L drink
Family 10PCS Chicken Meal,Family Meals,2250,yes,,10pc chicken + 4 sauces + large fries + 1L soft drink
MEGA 20PCS Tender Meal,Family Meals,1890,yes,,20pc tender + 4 sauces + fries + 1L soft drink
Wings 12PCS Family Meal,Family Meals,1690,yes,,12pc wings + 4 sauces + large fries + 1L soft drink
5PC Chicken Combo,Combos,1390,yes,,5pc chicken + cole slaw + popcorn + medium fries + soft drink
Max Box Combo,Combos,1090,yes,,Fajita + burger + popcorn + medium fries + soft drink
Wings Combo 8PC,Combos,1090,yes,,8pc hot wings + 2 sauces + medium fries
Super Combo,Combos,990,yes,,Chicken + burger + medium fries + soft drink
3PC Chicken Combo,Combos,890,yes,,3pc chicken + cole slaw + popcorn + medium fries + soft drink
Tender Combo,Combos,890,yes,,8pc tender + medium fries + 2 sauces
Wings Combo 4PC,Combos,790,yes,,4pc wings + 2 sauces + medium fries
XXX Rafiki,Combos,690,yes,,4pc tender + cheese burger + rice + popcorn + special fries + soda
Cheese Crispy Burger,Burgers,790,yes,,
Crispy Burger,Burgers,690,yes,,
Crispy Chicken Burger,Burgers,550,yes,,
Spicy Crispy Burger,Burgers,530,yes,,
Hot Honey Burger,Burgers,530,yes,,
Double Crispy Burger,Burgers,490,yes,,
Korean Crispy Burger,Burgers,440,yes,,
Chicken Burger,Burgers,390,yes,,
Lavino Sandwich,Sandwiches,690,yes,,
Maxicano Sandwich,Sandwiches,650,yes,,
Escalope Panne Sandwich,Sandwiches,530,yes,,
Crispy Roll Wrap,Wraps,790,yes,,Medium
Fajita Wrap,Wraps,610,yes,,Medium
Chicken Wrap,Wraps,550,yes,,Medium
Slaw Wrap,Wraps,490,yes,,Medium
Tender Wrap,Wraps,430,yes,,Medium
Rice with Chicken Large,Sides,1090,yes,,
Rice with Chicken Medium,Sides,890,yes,,
Poutine,Sides,500,yes,,
Rice and Cole Slaw,Sides,470,yes,,
Popcorn Chicken Box,Sides,310,yes,,
Hot Honey Chicken,Sides,310,yes,,
Popcorn Chicken,Sides,280,yes,,
French Fries Large,Sides,200,yes,,
Tender Burger Bread,Sides,60,yes,,
Kids Meal Tender,Kids,450,yes,,3pc tender + medium fries + juice
Kids Meal Burger,Kids,450,yes,,1 burger + medium fries + juice
Kudo Sauce,Sauces,100,no,,
Garlic Sauce,Sauces,100,no,,
Koktail Sauce,Sauces,100,no,,
BBQ Sauce,Sauces,100,no,,
Thousand Island Sauce,Sauces,100,no,,
Cheese Sauce,Sauces,100,no,,
Honey Mustard Sauce,Sauces,100,no,,
Ranch Sauce,Sauces,100,no,,
Harisa Sauce,Sauces,100,no,,
Mojito Blueberry,Shakes and Mojitos,450,yes,,
Mojito Roseberry,Shakes and Mojitos,450,yes,,
Mojito Mix Berry,Shakes and Mojitos,450,yes,,
Mojito Strawberry,Shakes and Mojitos,450,yes,,
Shake Strawberry,Shakes and Mojitos,350,yes,,
Shake Chocolate,Shakes and Mojitos,350,yes,,
Shake Vanilla Fudge,Shakes and Mojitos,350,yes,,
Shake Blueberry,Shakes and Mojitos,350,yes,,
Shake Pinacolada,Shakes and Mojitos,350,yes,,
Soda 1.25L,Soft Drinks,230,no,,
Minute Maid,Soft Drinks,150,no,,
Soda 500ml,Soft Drinks,120,no,,
Soda 350ml,Soft Drinks,100,no,,
Water 500ml,Soft Drinks,100,no,,
